sentiment,text,tweet_len,pos_percentage,neg_percentage,predicted_sentiment_score
positive,hoy ama pakyu ka bigay mo na form namin for jhs panira ka sa graduation eh hahahaha,17,0.0,0.0,neutral
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,according cbt httpstcowzyhbrmtv,3,0.0,0.0,neutral
neutral,the things i miss in elvinnth bday of elysensevi watching elyses cheerleader competitionnelyse watching sevis playi,16,0.0,0.0625,negative
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
negative,this part when minhee talking about his graduation days he said in his middle school graduation day he was childish b,21,0.0,0.047619047619047616,negative
neutral,days until may and graduation,5,0.0,0.0,neutral
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
negative,i dont really care for flowers but i feel like my friends and family need to come hard with em for my graduation httpstcoywojyfpcsx,24,0.041666666666666664,0.041666666666666664,neutral
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,my big brother and i at fam graduation in so paulo brasil httpstcogpkzzpb,13,0.0,0.0,neutral
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,mukhang magiging graduation gift yung mga albums na inorder ko ah hahahahahahaha neta pa,14,0.0,0.0,neutral
positive,this is why i cant do the speech at graduation although im honored i really cant speak in front of a large crowd of people,25,0.04,0.0,positive
positive,new scholarship available the texas farm bureau rural veterinary scholarship is for secondyear and thirdyear veteri,16,0.0625,0.0,positive
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
positive,azusa cant stand being lonely at the graduation of the original club members she begged them under tears to not NOT_httpstcogrjbj,21,0.0,0.047619047619047616,negative
positive,pratik deserves bb trophynngraduation is such a great feeling nits start of another day and journey so new nits a day fill,22,0.045454545454545456,0.0,positive
neutral,retention and graduation rates with a look at student debt incurred,11,0.0,0.09090909090909091,negative
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,he dose tcd lr graduation s mbdtf,7,0.0,0.0,neutral
neutral,i completed my graduation in years,6,0.0,0.0,neutral
positive,asking for a friend how many years post graduation should you keep thos httpstcowwefmfyta,14,0.0,0.0,neutral
neutral,cbt httpstcomkqaaktoo,2,0.0,0.0,neutral
neutral,graduationnn n httpstcogieselltn,3,0.0,0.0,neutral
positive,my graduation pictures make me so happy like i did thattttt,11,0.18181818181818182,0.0,positive
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
positive,this shirt is amazing thanks so much to for the graduation gift cant wait for this definite hit crossove,19,0.05263157894736842,0.0,positive
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,graduation stickers are a must for your graduation festivities,9,0.0,0.0,neutral
positive,at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,19,0.0,0.05263157894736842,negative
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,graduation stickers are a must for your graduation festivities httpstcoklexyulxug,10,0.0,0.0,neutral
negative,due to hazardous secondary road conditions and an expected overnight refreeze tomorrow jan will be a remote lea,18,0.0,0.05555555555555555,negative
positive,jen spent time on facebook she enjoyed learning about social media analytics amp promotion she is a marketing major httpstcovdpejvjiu,20,0.05,0.0,positive
positive,just remembering that i got my first laptop as a graduation present in and it was such a big deal,20,0.0,0.0,neutral
neutral,received an email that struck terror to my heart earlier graduation ceremony that was supposed to happen last year is now on the horizon,24,0.0,0.08333333333333333,negative
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
positive,at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,19,0.0,0.05263157894736842,negative
negative,whats wrong with crying dont squish totally normal reactions to graduation college drop off kid m httpstconealpyjda,17,0.0,0.058823529411764705,negative
positive,hc that postgraduation the first years are close enough they call each other by their first names except for tsukishi,20,0.05,0.0,positive
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,th from cbse th from up board amp graduation from mjpru,11,0.0,0.0,neutral
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,face to face graduation cutieeee,5,0.0,0.0,neutral
positive,thanks respected sir for simpathy nsir monthly pay ki bate jrur uthaye kyokingraduation f httpstcoabzdvfmqzz,15,0.0,0.0,neutral
neutral,yujus yujus solongraduation debut httpstconiukyerg,5,0.0,0.0,neutral
neutral,ppl said it might be so they can age the cast up at some point without having to deal with graduation httpstcoekbojlin,22,0.0,0.0,neutral
positive,at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,19,0.0,0.05263157894736842,negative
neutral,is this your graduation cap,5,0.0,0.0,neutral
neutral,harams graduation photo httpstconghigyqh,4,0.0,0.0,neutral
negative,his resume lacks punch because he spent three years hiking through southeast asia after graduation and his experience in t,20,0.0,0.1,negative
positive,yr old uni student jk celebrating graduation with his classmates and meets sj in a bar spends the night at sjs pla,22,0.0,0.0,neutral
neutral,and living in japan where it feels like whatever research results we get it doesnt make a difference i httpstcosqkvyawn,20,0.05,0.0,positive
neutral,kim harams graduation photo nn n httpstcoiekksttve,7,0.0,0.0,neutral
positive,cute pag pasok ko cinema nag play graduation song wahahhahahaa,10,0.1,0.1,neutral
positive,at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,19,0.0,0.05263157894736842,negative
neutral,prn nnnmomentnnnnn nn httpstcoemwggnn,4,0.0,0.0,neutral
positive,at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,19,0.0,0.05263157894736842,negative
neutral,awareness of the inevitability of liberationnnpalestinian architect student saja albarghouti daughter of professor and,14,0.0,0.0,neutral
negative,chutiya bhakts may excel at photoshop but poor spelling will reveal their deceit whatsapp university se graduation httpstcogykaotcqr,18,0.05555555555555555,0.1111111111111111,negative
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,awareness of the inevitability of liberationnnpalestinian architect student saja albarghouti daughter of professor and,14,0.0,0.0,neutral
negative,i wanted to be a pediatrician little me said babyatrician for my preschool graduation httpstcofurpyyvgu,15,0.0,0.0,neutral
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,akb team tps captain chen shihya announced graduationnnher graduation concert will be held in may httpstcoqgn,16,0.0,0.0,neutral
positive,yr old uni student jk celebrating graduation with his classmates and meets sj in a bar spends the night at sjs pla,22,0.0,0.0,neutral
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
